date,region,category,product_name,text,label,sentiment_label
18-08-2025,AE,sofa,CozyHome Sofa,I high quality the CozyHome Sofa. Great for my sofa needs.,positive,
17-08-2025,AE,sofa,CozyHome Sofa,I great the CozyHome Sofa. Great for my sofa needs.,positive,
28-09-2025,AU,sofa,CozyHome Sofa,This CozyHome Sofa is not comfortable. Very unhappy.,negative,
05-09-2025,IN,sofa,CozyHome Sofa,I well-made the CozyHome Sofa. Great for my sofa needs.,positive,
28-09-2025,DE,sofa,CozyHome Sofa,I happy with the CozyHome Sofa. Great for my sofa needs.,positive,
09-08-2025,ZA,sofa,CozyHome Sofa,I high quality the CozyHome Sofa. Great for my sofa needs.,positive,
16-08-2025,SG,sofa,CozyHome Sofa,CozyHome Sofa - ordered.,neutral,
26-08-2025,FR,sofa,CozyHome Sofa,I well-made the CozyHome Sofa. Great for my sofa needs.,positive,
28-10-2025,FR,sofa,CozyHome Sofa,I high quality the CozyHome Sofa. Great for my sofa needs.,positive,
09-08-2025,AE,sofa,CozyHome Sofa,I great the CozyHome Sofa. Great for my sofa needs.,positive,
11-09-2025,IN,sofa,UrbanLuxe Sofa,I love the UrbanLuxe Sofa. Great for my sofa needs.,positive,
16-09-2025,CA,sofa,UrbanLuxe Sofa,I high quality the UrbanLuxe Sofa. Great for my sofa needs.,positive,
19-08-2025,US,sofa,UrbanLuxe Sofa,I stylish the UrbanLuxe Sofa. Great for my sofa needs.,positive,
08-08-2025,SG,sofa,UrbanLuxe Sofa,I happy with the UrbanLuxe Sofa. Great for my sofa needs.,positive,
05-08-2025,FR,sofa,UrbanLuxe Sofa,I perfect the UrbanLuxe Sofa. Great for my sofa needs.,positive,
05-09-2025,DE,sofa,UrbanLuxe Sofa,I high quality the UrbanLuxe Sofa. Great for my sofa needs.,positive,
28-08-2025,DE,sofa,UrbanLuxe Sofa,I stylish the UrbanLuxe Sofa. Great for my sofa needs.,positive,
09-09-2025,AU,sofa,UrbanLuxe Sofa,I love the UrbanLuxe Sofa. Great for my sofa needs.,positive,
06-08-2025,SG,sofa,UrbanLuxe Sofa,I comfortable the UrbanLuxe Sofa. Great for my sofa needs.,positive,
12-09-2025,US,sofa,UrbanLuxe Sofa,I happy with the UrbanLuxe Sofa. Great for my sofa needs.,positive,
11-08-2025,IN,sofa,ComfortPlus Sofa,I love the ComfortPlus Sofa. Great for my sofa needs.,positive,
23-10-2025,US,sofa,ComfortPlus Sofa,I great the ComfortPlus Sofa. Great for my sofa needs.,positive,
01-08-2025,US,sofa,ComfortPlus Sofa,ComfortPlus Sofa - specs.,neutral,
23-08-2025,GB,sofa,ComfortPlus Sofa,I well-made the ComfortPlus Sofa. Great for my sofa needs.,positive,
07-09-2025,SG,sofa,ComfortPlus Sofa,ComfortPlus Sofa - price.,neutral,
07-10-2025,IN,sofa,ComfortPlus Sofa,I comfortable the ComfortPlus Sofa. Great for my sofa needs.,positive,
13-08-2025,US,sofa,ComfortPlus Sofa,I well-made the ComfortPlus Sofa. Great for my sofa needs.,positive,
08-10-2025,ZA,sofa,ComfortPlus Sofa,ComfortPlus Sofa - price.,neutral,
22-09-2025,AE,sofa,ComfortPlus Sofa,I comfortable the ComfortPlus Sofa. Great for my sofa needs.,positive,
14-10-2025,SG,sofa,ComfortPlus Sofa,This ComfortPlus Sofa is bad. Very unhappy.,negative,
